week,ACCESS1.0,CanESM2,CCSM4,CNRM.CM5,CSIRO.Mk3.6.0,GFDL.ESM2G,inmcm4,MIROC5,MPI.ESM.LR,MRI-CGCM3,HadGEM2.CC,HadGEM2-ES,month,stweek,endweek,year,holiday,season,decade,cdd1,cdd2,cdd3,cdd4,cdd5,cdd6,cdd7,cdd8,cdd9,cdd10,cdd11,cdd12
3672,30.57494438,47.37494463,31.39994445,57.82494444,41.47494543,55.67494565,30.49994457,18.12494428,38.87494391,42.04994559,57.07494467,32.89994487,5,5/10/2080,5/16/2080,2080,0,Dry,2080s,17,17,17,17,17,17,17,19,17,17,17,17
3673,45.32495594,70.24995708,46.59995604,85.77495575,61.49995708,82.57495689,45.24995613,26.92495584,57.67495632,62.34995604,84.67495728,48.82495689,5,5/17/2080,5/23/2080,2080,1,Dry,2080s,19,19,19,19,19,19,19,21,19,19,19,19
3674,12.1499669,18.79996681,12.44996655,22.94996691,16.47496641,22.07496715,12.09996647,7.174966753,15.42496657,16.67496693,22.67496645,13.04996669,5,5/24/2080,5/30/2080,2080,0,Dry,2080s,18,18,18,18,18,18,18,20,18,18,18,18
3675,11.97494432,55.69994521,40.22494483,27.34994459,12.49994445,43.17494571,32.72494459,28.599944,47.44994497,5.49994427,2.949944124,0.974944124,6,5/31/2080,6/6/2080,2080,0,Dry,2080s,16,16,16,16,16,16,16,18,16,17,17,19
3676,11.77493304,54.7999317,39.59993446,26.89993334,12.29993314,42.44993332,32.19993308,28.12493336,46.69993359,5.399933085,2.89993299,0.949944157,6,6/7/2080,6/13/2080,2080,0,Dry,2080s,19,18,18,18,19,18,18,20,18,20,20,23
3677,12.8749333,59.87493443,43.19993472,29.3749336,13.42493293,46.42493284,35.19993281,30.74993372,51.02493358,5.899933025,3.149933003,1.024932969,6,6/14/2080,6/20/2080,2080,0,Dry,2080s,20,19,19,19,20,19,19,21,19,22,23,28
3678,7.399966657,34.37496638,24.82496727,16.87496674,7.699966609,26.64996612,20.19996619,17.64996707,29.29996681,3.374966517,1.82496646,0.599966485,6,6/21/2080,6/27/2080,2080,0,Dry,2080s,21,20,20,20,21,20,20,22,20,24,26,31
3679,8.099921882,38.79992282,34.3749218,25.02492237,16.47492206,30.34992194,16.3999329,20.27492189,42.1999228,19.34992209,13.69992216,7.324921742,7,6/28/2080,7/4/2080,2080,1,Dry,2080s,21,20,20,20,21,20,21,22,20,24,26,31
3680,2.224966511,11.44996661,14.8499667,11.79996642,10.59996632,9.174966812,0.09997765,6.249966517,19.27496725,17.29996616,12.74996662,7.149966508,7,7/5/2080,7/11/2080,2080,0,Dry,2080s,23,21,21,21,22,21,27,22,21,25,28,34
3681,2.924977675,15.09997761,19.59997821,15.54997814,13.99997795,12.09997797,0.099988826,8.249977767,25.47497773,22.77497745,16.82497835,9.399977565,7,7/12/2080,7/18/2080,2080,0,Dry,2080s,25,23,23,23,24,23,32,23,23,27,30,36
3682,0,0,0,0,0,0,0,0,0,0,0,0,7,7/19/2080,7/25/2080,2080,0,Dry,2080s,29,27,27,27,28,27,36,27,27,31,34,40
3683,0.874988854,4.549988747,5.924988747,4.699988842,4.224988937,3.64998889,0.024988825,2.499988794,7.699988842,6.874989033,5.074988842,2.849988937,8,7/26/2080,8/1/2080,2080,0,Dry,2080s,30,28,28,28,29,28,38,28,28,32,35,41
3684,0.099988826,0.549988806,0.52498883,0.549988806,0.749988854,0.974988818,0.599988818,1.52498889,0.549988806,0.349988818,0.849988818,0.049988825,8,8/2/2080,8/8/2080,2080,0,Dry,2080s,35,34,34,34,34,34,44,34,34,36,39,42
3685,4.624989033,29.24998856,27.1749897,29.09998894,39.69998932,52.07498932,31.22498894,81.09999084,29.02499008,18.2999897,44.54998779,3.249988794,8,8/9/2080,8/15/2080,2080,0,Dry,2080s,39,37,37,37,37,37,47,37,37,39,41,45
3686,0,0,0,0,0,0,0,0,0,0,0,0,8,8/16/2080,8/22/2080,2080,0,Dry,2080s,46,44,44,44,44,44,54,44,44,44,46,48
3687,4.199966395,26.4999662,24.62496734,26.34996659,35.99996777,47.19996625,28.29996659,73.499964,26.29996735,16.57496584,40.37496772,2.949966589,8,8/23/2080,8/29/2080,2080,0,Dry,2080s,48,45,45,45,45,45,55,45,45,45,46,48
3688,6.849988937,6.999989033,9.024989128,7.249989033,1.424988866,3.599988937,3.52498889,5.349988937,5.649989128,11.34998894,3.624988794,2.799988747,9,8/30/2080,9/5/2080,2080,1,Dry,2080s,53,51,51,51,50,50,56,50,51,51,50,53
3689,11.24997807,11.47497773,14.82497787,11.92497778,2.349977672,5.899977684,5.79997766,8.774977922,9.274977684,18.67497778,5.949977756,4.599977732,9,9/6/2080,9/12/2080,2080,0,Dry,2080s,55,53,53,53,52,52,55,52,53,53,52,55
3690,65.34994507,66.72494507,86.14994621,69.27494621,13.57494426,34.27494431,33.62494493,51.02494431,53.84994602,108.4749451,34.57494497,26.67494416,9,9/13/2080,9/19/2080,2080,0,Dry,2080s,53,51,51,51,50,50,53,50,51,51,50,53
3691,48.87497902,49.92497826,64.44997978,51.82497978,10.17497778,25.64997768,25.14997864,38.14997864,40.24997902,81.14997864,25.89997864,19.94997787,9,9/20/2080,9/26/2080,2080,0,Dry,2080s,49,47,47,47,46,46,48,46,47,47,46,49
3692,127.3499227,80.79992384,251.6749253,127.4499242,92.19992387,104.7499211,67.04992282,87.44992352,132.8999224,198.3249221,108.8499215,98.94992018,10,9/27/2080,10/3/2080,2080,0,Rainy,2080s,48,46,46,46,45,45,46,45,46,46,45,48
3693,58.57495368,13.49995524,155.9499581,54.97495627,73.94995856,66.37495625,31.57495612,34.44995517,74.54995751,84.89995754,69.89995825,68.0249567,10,10/4/2080,10/10/2080,2080,0,Rainy,2080s,41,39,39,39,38,38,39,38,39,39,38,41
3694,46.79992163,10.82492197,124.5999222,43.94992208,59.12492394,52.99992323,25.22492182,27.52492219,59.5749228,67.84992349,55.87492359,54.3749212,10,10/11/2080,10/17/2080,2080,1,Rainy,2080s,37,36,36,36,35,35,36,35,36,36,35,37
3695,69.6499337,16.07493323,185.4499409,65.34993517,87.92493415,78.92493308,37.54993325,40.99993324,88.67493439,100.9749311,83.14993632,80.89993715,10,10/18/2080,10/24/2080,2080,0,Rainy,2080s,31,30,30,30,29,29,30,29,30,30,29,31
3696,70.04993474,16.19993302,186.5499365,65.77493548,88.47493339,79.37493432,37.7749337,41.24993366,89.19993329,101.5749338,83.59993446,81.37493348,10,10/25/2080,10/31/2080,2080,0,Rainy,2080s,25,24,24,24,24,24,24,24,24,24,24,25
3697,292.9499321,303.2999382,214.2249355,346.9999313,304.9749413,171.6249332,181.5999355,132.5999374,395.0999413,438.5249367,197.1749401,259.1749344,11,11/1/2080,11/7/2080,2080,0,Rainy,2080s,20,20,20,20,20,20,20,20,20,20,20,20
