"Location","Scenario","Var","Month","Decade","Min","Max"
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2070-2079",2,32
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2070-2079",7,57
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2070-2079",13,87
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2080-2089",8,57
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2080-2089",6,26
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2080-2089",2,27
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2080-2089",7,39
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2080-2089",9,46
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2080-2089",5,70
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2080-2089",6,63
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2080-2089",3,68
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2080-2089",2,64
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2080-2089",4,29
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2080-2089",14,61
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2080-2089",6,66
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2090-2099",11,67
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2090-2099",6,31
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2090-2099",4,25
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2090-2099",7,27
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2090-2099",12,52
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2090-2099",6,66
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2090-2099",5,78
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2090-2099",5,103
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2090-2099",7,47
